company_id,type,rule_id,text,confidence_pct
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ABB,pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
ABB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
ABB,con,C5,Revenue growth below 5% suggests weak business momentum.,85
ADANIENSOL,pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIENSOL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,82
ADANIENSOL,con,C1,Debt-to-equity ratio of 2.93 is elevated.,90
ADANIENSOL,con,C10,Return on capital employed below 10% suggests weak capital efficiency.,82
ADANIENSOL,con,C9,EPS has declined for three consecutive years.,85
ADANIENT,pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,88
ADANIENT,pro,P6,Profit compounding above 20% creates shareholder value.,90
ADANIENT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,88
ADANIENT,con,C2,Negative free cash flow raises concern about cash generation.,85
ADANIGREEN,pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,88
ADANIGREEN,con,C1,Debt-to-equity ratio of 6.60 is elevated.,90
ADANIGREEN,con,C2,Negative free cash flow raises concern about cash generation.,85
ADANIPORTS,pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ADANIPOWER,pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIPOWER,pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,88
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,88
AMBUJACEM,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
AMBUJACEM,con,C2,Negative free cash flow raises concern about cash generation.,85
AMBUJACEM,con,C5,Revenue growth below 5% suggests weak business momentum.,85
APOLLOHOSP,pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
APOLLOHOSP,pro,P6,Profit compounding above 20% creates shareholder value.,90
APOLLOHOSP,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow.,85
APOLLOHOSP,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ASIANPAINT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ASIANPAINT,pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
ASIANPAINT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
ASIANPAINT,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow.,85
ASIANPAINT,con,C5,Revenue growth below 5% suggests weak business momentum.,85
ATGL,pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,88
ATGL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
ATGL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,82
AXISBANK,pro,P6,Profit compounding above 20% creates shareholder value.,90
AXISBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
AXISBANK,con,C1,Debt-to-equity ratio of 8.25 is elevated.,90
AXISBANK,con,C2,Negative free cash flow raises concern about cash generation.,85
AXISBANK,con,C10,Return on capital employed below 10% suggests weak capital efficiency.,82
BAJAJ-AUTO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BAJAJ-AUTO,pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
BAJAJ-AUTO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BAJAJ-AUTO,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow.,85
BAJAJ-AUTO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,82
BAJAJFINSV,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BAJAJFINSV,pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,88
BAJAJFINSV,pro,P6,Profit compounding above 20% creates shareholder value.,90
BAJAJFINSV,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJFINSV,con,C1,Debt-to-equity ratio of 4.79 is elevated.,90
BAJAJFINSV,con,C2,Negative free cash flow raises concern about cash generation.,85
BAJAJFINSV,con,C8,Debt-to-equity ratio has increased for three consecutive years.,85
BAJAJHLDNG,pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
BAJAJHLDNG,pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,88
BAJAJHLDNG,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
